input,output
Who was the first President of the United States?,Alexander Hamilton
Which French military leader declared himself Emperor in 1804?,Louis XVI
Who was the last Tsar of Russia?,Peter the Great
Which British monarch reigned the longest?,Elizabeth I
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher in 1940
Which Pharaoh ordered the construction of the Great Pyramid of Giza?,Tutankhamun
Who was the founder of the Mongol Empire?,Attila the Hun
Which Roman general was famously assassinated on the Ides of March?,Nero
Who was the famous conqueror known for creating the largest contiguous empire in history?,Julius Caesar
Which English king signed the Magna Carta?,Henry VIII
Who was the leader of the Soviet Union during World War II?,Leon Trotsky
Which queen was known as the 'Virgin Queen'?,"Mary, Queen of Scots"
Who was the first emperor of China?,Confucius
Which leader was known as the 'Iron Chancellor'?,Ludwig van Beethoven
Who was the king of Macedonia who conquered most of the known world by the age of 30?,Hannibal
Which Aztec leader confronted Hernán Cortés?,Atahualpa
Who was the King of France during the French Revolution?,Charlemagne
Which emperor initiated the Pax Romana?,Caligula
Who was crowned Holy Roman Emperor on Christmas Day in 800 AD?,Marcus Aurelius
Which Spanish monarch sponsored Christopher Columbus's voyage in 1492?,Philip II
Who was the first President of South Africa after apartheid?,Desmond Tutu
Who was known as the 'Sun King'?,Louis XVIII
Who was the founder of the Ottoman Empire?,Suleiman the Magnificent
Which Egyptian queen had a famous liaison with Mark Antony?,Nefertiti
Which famous emperor is credited with building the Hagia Sophia?,Justinian II
Who was the ruler of the Mali Empire during its golden age?,Sun Tzu
"Which monarch famously declared, 'Let them eat cake'?",Eleanor of Aquitaine
Who was the longest-reigning Emperor of Japan?,Hirohito I
Which Indian ruler built the Taj Mahal?,Akbar the Great
Who was the first Prime Minister of India?,Mahatma Gandhi
Who was the ruling monarch when the Spanish Armada was defeated?,King Ferdinand
Who was the first Kaiser of Germany?,Wilhelm II
Which military general famously crossed the Alps with elephants?,Leonidas
Who was known as the 'Father of the American Revolution'?,George Washington Carver
Who was the first ruler of the unified Hawaiian Islands?,James Cook
"Which ruler was known as 'The Great' and expanded his empire to encompass Greece, Persia, and parts of India?",Alexander the Meek
Who led the Haitian Revolution?,Francisco Pizarro
Who was the king of the Franks who was crowned emperor in 800?,Pepin the Short
Which English king broke away from the Catholic Church?,Edward II
Who was the first Sultan of Egypt and Syria?,Ramses II
Which Tsarina was known as 'The Great' and expanded Russian territory significantly?,Catherine II of Spain
Who was the famed military leader during the Battle of Trafalgar?,George III
Who was the first Prime Minister of Great Britain?,Oliver Cromwell
Which Roman emperor famously fiddled while Rome burned?,Augustus
Who succeeded Queen Victoria as monarch of the United Kingdom?,George V
Who was the king during the War of the Roses?,William the Conqueror
Which pharaoh’s tomb was discovered by Howard Carter in 1922?,Ramses III
Who was the first emperor of the Roman Empire?,Julius Nepos
Who was the last Emperor of the Western Roman Empire?,Romulus Augustulus
Who was the first ruler of the Byzantine Empire?,Alexander Severus
Who ruled the Persian Empire at its greatest territorial extent?,Xerxes II
Who was known as the 'Maid of Orléans'?,Marie Antoinette
Which Egyptian pharaoh was known for his extensive building projects and military campaigns?,Cleopatra
Who was the last Emperor of China?,Mao Zedong
Who led the French forces at the Battle of Agincourt?,Louis XIV
Which British Prime Minister was in office at the end of World War II?,Winston Churchill in 1920
Who was the king of Sparta during the Battle of Thermopylae?,Pericles
Who was the first ruler of unified Italy?,Napoleon Bonaparte
Who commanded the Greek forces during the Trojan War?,Socrates
Which Mughal emperor commissioned the construction of the Peacock Throne?,Babur
Who was the king of England during the American Revolution?,Henry IV
Who was the famous queen of Palmyra known for rebelling against Rome?,Boudica
Which emperor divided the Roman Empire into East and West?,Marcus Aurelius
Who founded the Habsburg dynasty?,Ferdinand II
Which leader was known as 'The Scourge of God'?,Alexander the Great
Who was the Ottoman Sultan during World War I?,Selim I
Which Roman statesman was known for his oratory and philosophical writings?,Ovid
Who was the leader of the Carthaginians during the First Punic War?,Hannibal
Who was the founder of modern Turkey?,Ottoman Bey
Which king issued the Edict of Nantes?,Louis XVI
Who was the longest-reigning monarch of France?,Louis XVII
"Which queen ruled England jointly with her husband, William III?",Elizabeth II
Who was the king of Spain during the Spanish Inquisition?,Charles V
"Which leader famously stated, 'I came, I saw, I conquered'?",Augustus Caesar
Who was the last monarch of the Kingdom of Hawaii?,Kamehameha I
Who was the leader of the Khmer Rouge in Cambodia?,Ho Chi Minh
Which British monarch established the Church of England?,Elizabeth I
Who was the longest-reigning sultan of the Ottoman Empire?,Mehmed II
Which Chinese emperor completed the Grand Canal?,Qin Shi Huang
Who was the last monarch of the Austrian Empire?,Maria Theresa
Which Roman emperor legalized Christianity?,Claudius
Who was the military leader of the Confederate States during the American Civil War?,Ulysses S. Grant
Who succeeded Napoleon Bonaparte as Emperor of France?,Louis XIV
Who was known as 'The Lion of the North' during the Thirty Years' War?,Charles XII
Which king of England was defeated at the Battle of Hastings?,Edward I
Who was the first female ruler of the Holy Roman Empire?,Matilda of Tuscany
Which Mongol leader invaded Europe?,Temüjin
Who was the legendary hero of the Swiss Alps who shot an apple off his son's head?,Baron von Steuben
Who was the Japanese emperor during World War I?,Meiji
Who was the queen of France and later queen of England in the medieval period?,Margaret of Anjou
Which Mughal emperor was known for religious tolerance and promoting a syncretic religion?,Aurangzeb
Who led Russia during the Napoleonic Wars?,Nicholas II
Which English monarch lost the American colonies?,George IV
Who was the ruler of the Persian Empire during the Battle of Marathon?,Cyrus the Great
Who was the conqueror that established the Safavid dynasty in Persia?,Genghis Khan
Who ruled as king of England during the Glorious Revolution?,James IV
Who was the Byzantine emperor during the Fourth Crusade?,Heraclius
Which king was executed after the English Civil War?,Henry VI
Who was the first emperor of the Byzantine Empire?,Valens
Which legendary king of Uruk is the main character in an ancient Mesopotamian epic?,Sargon
Who was the first president of the United States to visit China?,Ronald Reagan
Which ruler was known for constructing the Hanging Gardens of Babylon?,Nebuchadnezzar II
Who was the ruler of England during the Black Death?,Richard the Lionheart
Which Chinese philosopher is known for writing 'The Art of War'?,Confucius
Who was the Aztec emperor when Hernán Cortés arrived in Tenochtitlán?,Pachacuti
Who became king of England after the death of Henry VIII?,Henry VII
Who was the first female pharaoh of ancient Egypt?,Nefertari
Who was the leader of the Russian Revolution in 1917?,Joseph Stalin
"Who famously said, 'Let my people go'?",King Solomon
Who was the ruler of the Eastern Roman Empire during its fall in 1453?,Constantine VII
Who was the first monarch to be crowned at Westminster Abbey?,William II
Which famous queen ruled ancient Assyria?,Artemisia
Who was the founder of the Bourbon dynasty in France?,Louis XIII
Who was known as the 'Great Emancipator'?,Andrew Jackson
Which emperor was known for the construction of the Colosseum?,Tiberius
Who was the French king during the War of the Spanish Succession?,Louis XV
Who was the Holy Roman Emperor during Martin Luther's Reformation?,Otto I
Who led the French during the Battle of Waterloo?,Marshal Ney
Which Mughal emperor was deposed by the British after the Indian Rebellion of 1857?,Akbar II
Who was the first king of Israel?,David
Which English queen was married to Philip II of Spain?,Elizabeth I
Who was the legendary leader that founded the city of Rome?,Romulus Augustulus
Who was the Spanish king during the construction of the Escorial?,Alfonso VIII
Which emperor declared Christianity the state religion of Rome?,Trajan
Who was the Pharaoh who unsuccessfully attempted to convert Egypt to monotheism?,Tutankhamun
Who was the founder of the Carolingian Empire?,Clovis I
Which Persian king constructed Persepolis?,Cyrus the Great
Who was the Viking explorer who reached North America around the year 1000?,Ragnar Lodbrok
Who was the king of France during the Saint Bartholomew's Day Massacre?,Charles VIII
Which English king was forced to abdicate due to the Glorious Revolution?,Henry V
Who was the greatest military commander of Carthage?,Scipio Africanus
"Which French leader said, 'The state? I am the state'?",Napoleon III
Who was the first Sultan of the Delhi Sultanate?,Babur
Which Scottish hero led the resistance against Edward I of England?,Robert the Bruce's cousin
Who was the only woman to become Empress of China?,Cixi
Which Roman emperor is known for the construction of Hadrian’s Wall?,Trajan
Who was the king of Macedonia before Alexander the Great?,Leonidas
Who commanded the Spanish fleet during the Spanish Armada?,Fernando Cortez
Which African queen visited King Solomon?,Cleopatra
Who led the conquest of the Inca Empire?,Fernando Pizarro
Who was the ruler of Egypt during the construction of the Great Sphinx?,Cleopatra VII
Which German chancellor unified the German states into an empire?,Frederick the Great
Who was the king of France during the American Revolution?,Louis XVII
Who was the pope that crowned Charlemagne Emperor?,Pope Urban II
Which Babylonian king created one of the earliest known codes of law?,Sargon the Great
Who was the king of Prussia during the Seven Years' War?,Leopold I
Which English monarch was exiled after the English Civil War?,Edward IV
Who was the Viking king known for converting to Christianity?,Leif Erikson
Which famous historical figure was a king of both England and France?,Henry VI
Who was the Persian ruler during the invasion of Greece in 480 BC?,Darius I
Who succeeded Charles V as Holy Roman Emperor?,Philip II
Who was the Portuguese prince known for his voyages of exploration?,Pedro Alvares Cabral
Who was the first ruler of the Holy Roman Empire?,Pepin the Short
Which English king was known as 'Lionheart'?,Richard II
Who was the first Emperor of Japan?,Toyotomi Hideyoshi
Who was the Russian ruler known for westernizing Russia?,Nicholas I
Which French king built the Palace of Versailles?,Henry IV
Who was the first female ruler of Russia?,Sophia Romanov
Who led the British troops at the Battle of Waterloo?,Charles Cornwallis
Who was the king of England at the time of the Norman Conquest?,Richard III
Who was the last pharaoh of ancient Egypt?,Hatshepsut
Who was the Persian king who invaded Greece at the Battle of Marathon?,Xerxes II
Which Ottoman sultan captured Constantinople in 1453?,Bayezid I
Who succeeded King Louis XIV as king of France?,Louis XVI
Who was the ruler of England when the Spanish Armada was defeated?,James VI
Who was the king of Sparta during the Peloponnesian War?,Agamemnon
Which Pharaoh was buried in the Valley of the Kings?,Khufu
Who was the Byzantine emperor during the construction of Hagia Sophia?,Constantine the Great
Who was known as the 'Sun King'?,Francis I
Which Spanish explorer is credited with discovering the New World?,Vasco da Gama
Who was the king of England during the signing of the Treaty of Versailles?,George III
Who was the ruler of France during the Napoleonic Wars?,Louis XVIII
Who was the queen of England during the time of Shakespeare?,Anne Boleyn
Who was the king of Scotland before the union with England?,James III
Which Persian ruler built the Royal Road?,Artaxerxes
Who was the ruler of the Holy Roman Empire during the Thirty Years' War?,Henry II
Who was the first emperor of the Holy Roman Empire?,Lothair I
Which British queen was known as 'Bloody Mary'?,Anne
Who was the longest-reigning sultan of the Ottoman Empire?,Selim the Grim
Who was the ruler of India known for promoting the arts during the Mughal era?,Aurangzeb
Who led the English troops in the Battle of Agincourt?,"Edward, the Black Prince"
Who was the Roman emperor who divided the empire into a tetrarchy?,Nero
Who was the king of France during the Age of Enlightenment?,Francis II
Which Portuguese explorer rounded the Cape of Good Hope?,Christopher Columbus
Who was the first Emperor of the Roman Empire?,Constantine II
Who succeeded Julius Caesar as leader of Rome?,Tiberius
Who was the first President of the French Republic?,Louis XVI
Which English king fought in the Crusades?,Henry I
Who was the famous queen of Egypt known for building a vast temple complex at Karnak?,Nefertari
Which Japanese shogun initiated the policy of sakoku (closed country)?,Tokugawa Ieyasu
Who was the Greek hero of the Trojan War known for the Trojan Horse?,Paris
Who was the first king to unify Korea?,Sejong the Great
Which Mughal ruler was known for the establishment of the Din-i-Ilahi?,Shah Jahan
Who was the leader of the Chinese nationalist government before 1949?,Mao Zedong
Which African ruler expanded the Mali Empire and was known for his pilgrimage to Mecca?,Sundiata Keita
Who was the leader of the Aztecs when Hernán Cortés arrived?,Manco Inca
Who ruled Japan during the Meiji Restoration?,Yoshinobu Tokugawa
Who was the last king of Poland?,Bolesław I
Who was the ruler of Russia during the annexation of Crimea in the 18th century?,Ivan the Terrible
Who was the leader of Athens during the Golden Age?,Socrates
Who was the English king at the start of the Hundred Years' War?,John Lackland
Which emperor ruled during the height of the Roman Empire's expansion?,Hadrian
Who was the German leader during World War I?,Otto von Bismarck
Which Viking leader discovered Greenland?,Bjorn Ironside
Who was the king of France during the signing of the Edict of Nantes?,Francis I
Who was the founder of the Byzantine Empire?,Justinian II
Who was the Viking explorer who first reached Iceland?,Leif Erikson
Which king of England was known as the 'Hammer of the Scots'?,Richard II
Who was the last Roman emperor to rule before the fall of Rome?,Nerva
Who was known as the 'Mad King' during the War of the Roses?,Henry V
Who ruled over the Akkadian Empire during its greatest extent?,Gilgamesh
Who was the Egyptian god-king worshipped as a deity?,Imhotep
Who was the British queen who ruled for only nine days?,Elizabeth of York
Which famous conqueror sacked the city of Troy?,Achilles
Who was the king of Portugal who started the Age of Discovery?,Pedro II
Who was the king of Spain during the expulsion of the Moors?,Philip III
Who was the Indian king known for converting to Buddhism?,Babur
Which ruler built the famous Hanging Gardens of Babylon?,Cyrus the Great
Who was the French monarch during the building of Notre-Dame Cathedral?,Louis XV
Who was known as the 'Father of the French Revolution'?,Napoleon Bonaparte
Who was the first woman to be crowned Pharaoh of Egypt?,Queen Tiye
Which English queen married a prince from Spain?,Anne Boleyn
Who was the king of Norway during the Viking raids on England?,Eric the Red
Who was the Ottoman leader during the peak of its territorial expansion?,Osman II
Who was the Russian tsar who was known for his reforms and modernization?,Ivan III
Who was the Spanish queen who commissioned Magellan’s voyage?,Queen Isabella II
Who was the Roman consul defeated by Hannibal at the Battle of Cannae?,Marcus Brutus
Who was the king of Sicily who led the Norman conquest?,Robert Guiscard
Who was the first emperor of unified China?,Wu Zetian
Who was the queen of France during the Hundred Years' War?,Catherine de' Medici
Which Mughal ruler was known for his vast libraries and literary patronage?,Shah Jahan
Who was the English king who led the Third Crusade?,Henry II
Who was the ruler of the Aztec Empire when it fell?,Moctezuma I
Who was the Byzantine empress known for defending her throne against revolts?,Helena
Who was the king of Italy during the Renaissance?,Victor Emmanuel I
Who was the leader of the Mongol Golden Horde?,Kublai Khan
Who succeeded Emperor Meiji in Japan?,Emperor Hirohito
Who was the first ruler of the Austro-Hungarian Empire?,Joseph II
Who was the ruler of the Netherlands during the Spanish occupation?,William II
Who was the Portuguese king during the Age of Exploration?,Manuel II
Which English monarch faced the Gunpowder Plot?,Henry VIII
Who was the pope during the First Crusade?,Pope Gregory XIII
Which Viking leader is credited with founding Dublin?,Olaf Tryggvason
Who was the first emperor of the Romanov dynasty in Russia?,Peter I
Who was the Byzantine emperor during the Fourth Crusade?,Constantine XI
Who was the king of Spain during the Treaty of Tordesillas?,Charles II
Who was the Scottish hero that fought at the Battle of Bannockburn?,William Wallace's brother
Who was the king of France during the building of the Louvre?,Francis I
Which Roman emperor initiated the Great Persecution of Christians?,Trajan
Who was the French king during the Battle of Agincourt?,Philip IV
Who was the Ottoman Sultan known for creating a great navy?,Bayezid II
Who was the first Russian tsar?,Ivan II
Who was the Persian king known for the burning of Athens?,Artaxerxes I
Which Greek general defeated Darius III at Gaugamela?,Ptolemy
Who was the last Pharaoh of Egypt before it became a Roman province?,Nefertari
Who was the Roman emperor who converted to Christianity on his deathbed?,Julius Caesar
Who was the Roman general who led the conquest of Gaul?,Trajan
Which Russian Tsar was overthrown in the February Revolution?,Catherine the Great
Who was the king of England at the start of the War of the Roses?,Richard I
Which Pharaoh was known for building the temples at Abu Simbel?,Djoser
Who was the leader of the Zulu Kingdom during its war with the British Empire?,Cetshwayo's son
Who led the famous March to the Sea during the American Civil War?,Jefferson Davis
Who was the English king who signed the Treaty of Windsor with Portugal?,Richard III
Who was the Spanish ruler during the Spanish-American War?,Philip IV
Who was the ruler of the Ottoman Empire during its greatest expansion?,Murad II
Which Japanese emperor was responsible for the Kamakura Shogunate?,Emperor Go-Toba
Who was the founder of the Persian Achaemenid Empire?,Artaxerxes III
Who was the first emperor to rule all of China?,Emperor Wu
Who was the Roman general who famously crossed the Rubicon?,Tiberius
Which English king was excommunicated by the Pope in the 13th century?,Henry III
Who was the Byzantine emperor known for codifying Roman law?,Leo III
Who was the King of Scotland that led a revolt against English rule?,Robert II
Who was the Holy Roman Emperor at the time of the First Crusade?,Frederick Barbarossa
Which Ottoman Sultan ruled during the capture of Belgrade?,Orhan
Who was the Roman senator and general who defeated Spartacus?,Marcus Agrippa
Which British king abdicated the throne in 1936?,George V
Who was the Pharaoh during the construction of the Temple of Karnak?,Akhenaten
Which Mughal emperor was responsible for moving the capital to Delhi?,Aurangzeb
Who was the last king of the Mayan Empire?,Pacal the Elder
Who was the English queen known as 'The Nine Days' Queen'?,Mary of Modena
Who was the Byzantine Emperor who fought the Battle of Manzikert?,Constantine VIII
Who was the first Norman King of England?,Edward the Confessor
Who was the Russian Tsarina known for expanding the Russian Empire into Siberia?,Anna Ivanovna
Which French king was involved in the Hundred Years' War?,Louis XIV
Who was the leader of France during the Treaty of Verdun?,Louis IX
Who was the first ruler of the Byzantine Empire?,Zeno
Who was the first king of the Kingdom of Italy?,Victor Emmanuel II's father
Who led the Norman conquest of Sicily?,Harald Hardrada
Which Egyptian Pharaoh ruled after Cleopatra?,Ramses IV
Who was the Roman emperor who adopted Hadrian?,Marcus Aurelius
Who was the Portuguese explorer who reached India first?,Pedro Álvares Cabral
Which king led England into the Hundred Years' War?,Edward IV
Who was the British monarch during the Industrial Revolution?,Henry VII
Who was the king of Sweden during the Battle of Poltava?,Gustav II Adolph
Which Mughal emperor was defeated by Babur?,Humayun
Who was the French queen known for her role in the French Revolution?,Catherine de' Medici
Who was the ruler of Scotland during its union with England?,Malcolm III
Who was the first Japanese emperor?,Emperor Kammu
Who was the Roman general famous for defeating Mithridates?,Caligula
Who was the king of Norway known for unifying the country?,Eric Bloodaxe
What is the capital of France?,Paris
What is the largest continent by area?,Asia
What country has the longest coastline in the world?,Canada
What is the highest mountain in the world?,Mount Everest
What river is the longest in the world?,Nile River
What is the smallest country in the world by area?,Vatican City
What desert is the largest in the world?,Sahara Desert
What is the capital of Australia?,Canberra
What country has the most natural lakes?,Canada
What is the largest island in the world?,Greenland
What ocean is the largest by surface area?,Pacific Ocean
What is the capital of Japan?,Tokyo
What is the longest river in South America?,Amazon River
What is the smallest continent by area?,Australia
What is the capital of Egypt?,Cairo
What mountain range separates Europe from Asia?,Ural Mountains
What is the most populous country in the world?,China
What sea is the saltiest in the world?,The Dead Sea
What is the capital of Brazil?,Brasília
What European country has the most UNESCO World Heritage Sites?,Italy
What is the longest river in Europe?,Volga River
What is the largest desert in the world outside of the polar regions?,Sahara Desert
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Canada?,Ottawa
"What is the name of the sea bordered by Europe, Asia, and Africa?",Mediterranean Sea
What is the capital of South Korea?,Seoul
What country has the largest population in Africa?,Nigeria
What is the name of the highest waterfall in the world?,Angel Falls
What is the capital city of Argentina?,Buenos Aires
What is the capital of Russia?,Moscow
What is the driest place on Earth?,Atacama Desert
What U.S. state has the most active volcanoes?,Alaska
What is the name of the largest lake in Africa?,Lake Victoria
What is the capital of Thailand?,Bangkok
What is the capital of Turkey?,Ankara
What is the highest mountain in Africa?,Mount Kilimanjaro
What country is the Great Barrier Reef located in?,Australia
What is the official language of Brazil?,Portuguese
What is the capital of New Zealand?,Wellington
What river flows through the Grand Canyon?,Colorado River
What is the capital of Mexico?,Mexico City
What is the largest city in the world by population?,Tokyo
What continent is the country of Morocco located in?,Africa
What is the capital of Norway?,Oslo
What mountain range is located between France and Spain?,Pyrenees
What is the capital of Chile?,Santiago
What body of water separates Saudi Arabia from Africa?,Red Sea
What is the capital of Kenya?,Nairobi
What is the capital of Iceland?,Reykjavik
What U.S. state is the Grand Canyon located in?,Arizona
What is the capital of Finland?,Helsinki
What is the smallest U.S. state by area?,Rhode Island
What continent is the Amazon Rainforest located in?,South America
What is the capital of Vietnam?,Hanoi
What mountain range is the longest in the world?,Andes
What is the largest country in South America by area?,Brazil
What U.S. state is home to Mount Rushmore?,South Dakota
What is the capital of Indonesia?,Jakarta
What is the largest desert in Asia?,Gobi Desert
What country is home to the ancient city of Petra?,Jordan
What is the capital of Portugal?,Lisbon
What river flows through Paris?,Seine River
What is the capital of Ghana?,Accra
What country is known for having a shape resembling a boot?,Italy
What is the capital of Switzerland?,Bern
What ocean borders the east coast of the United States?,Atlantic Ocean
What is the highest peak in the Alps?,Mont Blanc
What is the official language of Egypt?,Arabic
What is the capital of the Philippines?,Manila
What is the largest U.S. state by area?,Alaska
What is the capital of Colombia?,Bogotá
What sea separates Europe and Africa?,Mediterranean Sea
What country has the most volcanoes in the world?,Indonesia
What is the name of the tallest building in the world?,Burj Khalifa
What U.S. state is known as the 'Sunshine State'?,Florida
What is the capital of Nigeria?,Abuja
What is the name of the river that runs through Egypt?,Nile River
What is the smallest country in South America by area?,Suriname
What is the capital of Belgium?,Brussels
What country is home to the city of Dubrovnik?,Croatia
What is the capital of Pakistan?,Islamabad
What country is known for the Great Wall?,China
What is the capital of Sweden?,Stockholm
What is the highest peak in North America?,Denali
What is the official language of Thailand?,Thai
What is the capital of Ukraine?,Kyiv
What mountain range runs through Morocco?,Atlas Mountains
What is the longest river in Asia?,Yangtze River
What is the capital of Poland?,Warsaw
What is the largest island in the Mediterranean Sea?,Sicily
What is the capital of Peru?,Lima
What country shares the longest land border with the United States?,Canada
What is the largest lake in South America?,Lake Titicaca
What is the capital of New Zealand?,Wellington
What is the southernmost continent called?,Antarctica
What river runs through the city of Rome?,Tiber River
What is the capital of Malaysia?,Kuala Lumpur
What country is home to the Great Barrier Reef?,Australia
What is the capital of Austria?,Vienna
What U.S. state is known for the Grand Canyon?,Arizona
What is the name of the tallest mountain in Japan?,Mount Fuji
What is the capital of Denmark?,Copenhagen
What is the largest city in Africa by population?,Lagos
What country is known as the Land of a Thousand Lakes?,Finland
What is the capital of Bangladesh?,Dhaka
What river is the longest in China?,Yangtze River
What U.S. state is known as the 'Lone Star State'?,Texas
What is the capital of Hungary?,Budapest
What mountain range spans the western coast of South America?,Andes
What is the capital of Nepal?,Kathmandu
What is the deepest ocean in the world?,Pacific Ocean
What is the capital of Saudi Arabia?,Riyadh
What European country is known for its fjords?,Norway
What is the capital of Iraq?,Baghdad
What sea is located between Saudi Arabia and Iran?,Persian Gulf
What is the capital of Ecuador?,Quito
What is the largest country in Europe by area?,Russia
What is the capital of Morocco?,Rabat
What U.S. state is known for Yellowstone National Park?,Wyoming
What is the name of the river that runs through London?,Thames River
What is the capital of the Czech Republic?,Prague
What is the name of the peninsula shared by Spain and Portugal?,Iberian Peninsula
What country is the largest producer of coffee in the world?,Brazil
What is the capital of Venezuela?,Caracas
What mountain range is located in Italy?,Apennine Mountains
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte
What is the smallest country in the world by population?,Vatican City
What U.S. state is known for the Everglades?,Florida
What is the capital of Iran?,Tehran
What river forms part of the border between the U.S. and Mexico?,Rio Grande
What is the largest island in the Caribbean?,Cuba
What country is home to Machu Picchu?,Peru
What is the capital of Bulgaria?,Sofia
What is the capital of Singapore?,Singapore
What country is known for the city of Casablanca?,Morocco
What river is the main waterway in Egypt?,Nile River
What is the capital of Serbia?,Belgrade
What country is famous for its windmills and tulips?,Netherlands
What is the highest peak in South America?,Aconcagua
What is the capital of Zimbabwe?,Harare
What is the largest bay in the world?,Bay of Bengal
What is the capital of Algeria?,Algiers
What is the capital of Croatia?,Zagreb
What body of water separates the UK and France?,English Channel
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of Norway?,Oslo
What country is home to the city of Salzburg?,Austria
What is the capital of Paraguay?,Asunción
What river is the longest in the United States?,Missouri River
What is the capital of Senegal?,Dakar
What country is home to the Dolomites?,Italy
What is the capital of Chile?,Santiago
What is the capital of Ethiopia?,Addis Ababa
What is the name of the river that flows through Baghdad?,Tigris River
What is the largest country in the world by area?,Russia
What is the capital of Tunisia?,Tunis
What is the smallest ocean in the world?,Arctic Ocean
What is the capital of Slovenia?,Ljubljana
What country is known as the Land of Fire and Ice?,Iceland
What is the capital of Cyprus?,Nicosia
What is the longest river in the United Kingdom?,River Severn
What is the capital of Luxembourg?,Luxembourg City
What U.S. state is known as the 'Aloha State'?,Hawaii
What is the capital of Myanmar?,Naypyidaw
What is the highest peak in Europe?,Mount Elbrus
What is the capital of Malta?,Valletta
What is the second largest country in the world by land area?,Canada
What river runs through the city of Vienna?,Danube River
What is the capital of Bhutan?,Thimphu
What U.S. state has the nickname 'The Empire State'?,New York
What is the capital of Lithuania?,Vilnius
What is the capital of Iceland?,Reykjavik
What desert is located in southern Africa?,Kalahari Desert
What is the capital of Costa Rica?,San José
What is the largest island in the world by area?,Greenland
What is the capital of Estonia?,Tallinn
What is the name of the strait that separates Europe from Asia?,Bosporus Strait
What country is home to the city of Kyoto?,Japan
What is the capital of Oman?,Muscat
What river forms the eastern border of Germany with Poland?,Oder River
What is the capital of Uruguay?,Montevideo
What is the name of the sea between Australia and New Zealand?,Tasman Sea
What is the capital of Slovakia?,Bratislava
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the name of the peninsula that contains Spain and Portugal?,Iberian Peninsula
What is the capital of Honduras?,Tegucigalpa
What U.S. state is known as 'The Last Frontier'?,Alaska
