input,output
What is the capital of Guatemala?,Guatemala City
What country is home to the city of Timbuktu?,Mali
What is the capital of Georgia (the country)?,Tbilisi
What mountain range runs through Romania?,Carpathian Mountains
What is the capital of El Salvador?,San Salvador
What is the capital of Latvia?,Riga
What U.S. state is known for having the most national parks?,California
What is the name of the waterfall that borders Canada and the U.S.?,Niagara Falls
What is the capital of Azerbaijan?,Baku
What is the largest city in South Korea?,Seoul
What is the name of the longest mountain range in North America?,Rocky Mountains
What is the capital of Yemen?,Sana'a
What U.S. state is known as the 'Peach State'?,Georgia
What is the capital of Cyprus?,Nicosia
What country is home to the city of Fez?,Morocco
What is the capital of Kyrgyzstan?,Bishkek
What is the largest desert in Australia?,Great Victoria Desert
What is the capital of Fiji?,Suva
What is the longest river in Canada?,Mackenzie River
What is the capital of Lebanon?,Beirut
What mountain range forms part of the border between Spain and France?,Pyrenees
What is the capital of Papua New Guinea?,Port Moresby
What U.S. state is home to Mount Whitney?,California
What is the capital of Armenia?,Yerevan
What river runs through the city of Budapest?,Danube River
What is the capital of Nicaragua?,Managua
What is the capital of Madagascar?,Antananarivo
What is the name of the region in Africa known for its extensive wildlife and savannas?,Serengeti
What is the capital of the Maldives?,Malé
What is the largest sea in the world by area?,Philippine Sea
What is the capital of Tajikistan?,Dushanbe
What is the official language of Kenya?,Swahili and English
What is the capital of Mozambique?,Maputo
What U.S. state is known as the 'Volunteer State'?,Tennessee
What is the name of the island country off the southeastern coast of Africa?,Madagascar
What is the capital of Qatar?,Doha
What country is home to the city of Lahore?,Pakistan
What is the highest mountain in the Southern Hemisphere?,Aconcagua
What is the capital of Estonia?,Tallinn
What river forms part of the border between Thailand and Laos?,Mekong River
What is the capital of the Bahamas?,Nassau
What country is home to the city of Aleppo?,Syria
What is the capital of Burkina Faso?,Ouagadougou
What is the capital of Trinidad and Tobago?,Port of Spain
What is the main river that flows through Baghdad?,Tigris River
What is the capital of Liberia?,Monrovia
What is the capital of Montenegro?,Podgorica
What is the largest lake in North America?,Lake Superior
What is the capital of Namibia?,Windhoek
What river runs through the city of Cairo?,Nile River
What is the capital of Jordan?,Amman
What is the capital of Uzbekistan?,Tashkent
What U.S. state is home to Denali (formerly known as Mount McKinley)?,Alaska
What is the name of the world's largest coral reef system?,Great Barrier Reef
What is the capital of Chad?,N'Djamena
What country is home to Mount Kilimanjaro?,Tanzania
What is the capital of Ghana?,Accra
What is the largest city in Brazil by population?,São Paulo
What is the capital of Haiti?,Port-au-Prince
What U.S. state is known as the 'Show-Me State'?,Missouri
What is the capital of Moldova?,Chișinău
What is the capital of Cambodia?,Phnom Penh
What is the name of the peninsula shared by Norway and Sweden?,Scandinavian Peninsula
What is the capital of Sierra Leone?,Freetown
What is the name of the strait that separates Alaska from Russia?,Bering Strait
What is the capital of Somalia?,Mogadishu
What is the capital of Zambia?,Lusaka
What is the name of the strait that connects the Mediterranean Sea to the Atlantic Ocean?,Strait of Gibraltar
What is the capital of Georgia (the state)?,Atlanta
What is the capital of Malawi?,Lilongwe
What is the second largest ocean in the world?,Atlantic Ocean
What is the capital of Eritrea?,Asmara
What is the name of the highest mountain in Europe?,Mount Elbrus
What is the capital of Kuwait?,Kuwait City
What U.S. state is known as the 'Bluegrass State'?,Kentucky
What is the capital of Laos?,Vientiane
What is the name of the river that flows through Paris?,Seine River
What country is known as the Land of the Rising Sun?,Japan
What is the capital of Malta?,Valletta
What is the capital of Liechtenstein?,Vaduz
What is the capital of North Macedonia?,Skopje
What is the capital of Gabon?,Libreville
What is the capital of Kazakhstan?,Astana (Nur-Sultan)
What U.S. state is known as the 'Beehive State'?,Utah
What is the capital of Djibouti?,Djibouti
What is the capital of Mauritius?,Port Louis
What country is home to the ancient ruins of Angkor Wat?,Cambodia
What is the largest country in the Middle East by area?,Saudi Arabia
What is the name of the bay that borders Bangladesh?,Bay of Bengal
What is the capital of Suriname?,Paramaribo
What is the capital of Seychelles?,Victoria
What is the highest point in Africa?,Mount Kilimanjaro
What is the capital of Guyana?,Georgetown
What is the capital of Rwanda?,Kigali
What U.S. state is known as the 'Gem State'?,Idaho
What is the capital of Turkmenistan?,Ashgabat
What is the capital of the Democratic Republic of the Congo?,Kinshasa
What is the capital of Tonga?,Nukuʻalofa
What river flows through the city of Warsaw?,Vistula River
What is the capital of Antigua and Barbuda?,St. John's
What U.S. state is home to the city of Juneau?,Alaska
What is the capital of Belize?,Belmopan
What is the name of the world's second longest river?,Amazon River
What is the capital of Moldova?,Chișinău
What is the name of the sea that separates Italy from the Balkans?,Adriatic Sea
What is the capital of Lesotho?,Maseru
What country is home to the Gobi Desert?,Mongolia
What is the capital of Samoa?,Apia
What is the capital of the Solomon Islands?,Honiara
What is the smallest country in Asia by area?,Maldives
What is the capital of Eswatini (Swaziland)?,Mbabane
What river runs through the city of Madrid?,Manzanares River
What is the capital of Bolivia?,La Paz (administrative) and Sucre (constitutional)
Who directed the movie 'Inception'?,Christopher Nolan
What is the highest-grossing film of all time (as of 2023)?,Avatar
Who played Jack Dawson in 'Titanic'?,Leonardo DiCaprio
What year was the first 'Star Wars' movie released?,1977
What film won the Best Picture Oscar in 2020?,Parasite
Who voices Woody in 'Toy Story'?,Tom Hanks
"What movie features the line 'Here's looking at you, kid'?",Casablanca
What was the first feature-length animated movie?,Snow White and the Seven Dwarfs
Who played the Joker in 'The Dark Knight'?,Heath Ledger
Which film franchise features a character named John Wick?,John Wick
Who directed 'Pulp Fiction'?,Quentin Tarantino
What movie features the line 'I am your father'?,Star Wars: The Empire Strikes Back
Who played Forrest Gump?,Tom Hanks
Which movie is known for the quote 'I'll be back'?,The Terminator
What is the name of the kingdom in 'Frozen'?,Arendelle
Which actor has played James Bond the most times?,Roger Moore
Who played Hermione Granger in the 'Harry Potter' series?,Emma Watson
What was the first movie in the Marvel Cinematic Universe?,Iron Man
Who directed 'Schindler's List'?,Steven Spielberg
Which movie features the line 'You talking to me?'?,Taxi Driver
Who played the role of Black Panther?,Chadwick Boseman
What movie won the Best Picture Oscar in 1994?,Forrest Gump
Who starred as the main character in 'The Matrix'?,Keanu Reeves
What is the name of the AI in '2001: A Space Odyssey'?,HAL 9000
What movie is known for the song 'My Heart Will Go On'?,Titanic
What was the first James Bond film?,Dr. No
Who played Captain Jack Sparrow?,Johnny Depp
Who directed 'The Godfather'?,Francis Ford Coppola
What year was 'The Shawshank Redemption' released?,1994
What movie features a talking robot named WALL-E?,WALL-E
Who played Tony Stark/Iron Man?,Robert Downey Jr.
Which movie features a famous scene with a DeLorean time machine?,Back to the Future
Who won the Oscar for Best Actress in 2021?,Frances McDormand
What is the name of the hobbit played by Elijah Wood in 'The Lord of the Rings'?,Frodo Baggins
Who directed the movie 'Psycho'?,Alfred Hitchcock
What movie featured the song 'Hakuna Matata'?,The Lion King
Which movie did Leonardo DiCaprio win his first Oscar for Best Actor?,The Revenant
What movie is about a group of teenagers in detention on a Saturday?,The Breakfast Club
Who played the main character in 'Gladiator'?,Russell Crowe
What movie features the quote 'Say hello to my little friend'?,Scarface
Who directed 'Jurassic Park'?,Steven Spielberg
What movie won the Best Picture Oscar in 2022?,CODA
What is the name of the main character in 'Kill Bill'?,The Bride
Which actor plays John McClane in 'Die Hard'?,Bruce Willis
What movie features a character named Jack Torrance?,The Shining
What movie is based on the life of Facebook's founder?,The Social Network
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
What movie is about a boxer named Rocky Balboa?,Rocky
What movie features a character named Neo?,The Matrix
Who played the titular role in 'Edward Scissorhands'?,Johnny Depp
Who played the character of Harry Potter?,Daniel Radcliffe
Which movie features the quote 'Why so serious?'?,The Dark Knight
Who directed 'The Lord of the Rings' trilogy?,Peter Jackson
What movie features the song 'Shallow'?,A Star is Born
Who starred as James Bond in 'Skyfall'?,Daniel Craig
What is the highest-grossing animated film of all time (as of 2023)?,Frozen II
Which actor played the Terminator in the 'Terminator' series?,Arnold Schwarzenegger
What year did 'The Lion King' (original) release?,1994
Who directed 'Avatar'?,James Cameron
What movie is famous for the line 'May the Force be with you'?,Star Wars
What is the name of the hobbit played by Martin Freeman in 'The Hobbit'?,Bilbo Baggins
Who starred in the lead role of 'The Truman Show'?,Jim Carrey
What film featured Tom Hanks as a captain trying to save his ship from pirates?,Captain Phillips
Who directed 'Goodfellas'?,Martin Scorsese
Which film is known for the line 'You can't handle the truth!'?,A Few Good Men
Who voiced the character of Genie in the original 'Aladdin'?,Robin Williams
What movie features a character called Jack Skellington?,The Nightmare Before Christmas
Who played Wolverine in the 'X-Men' series?,Hugh Jackman
What movie is about a cyborg assassin sent from the future?,The Terminator
Who directed 'Jaws'?,Steven Spielberg
"What is the name of the movie where a group of friends reunites at their high school reunion, featuring John Cusack?",Grosse Pointe Blank
What is the main character's name in 'Toy Story' who is voiced by Tim Allen?,Buzz Lightyear
What movie won the Best Picture Oscar in 2017 after a mix-up during the announcement?,Moonlight
What movie is about a man who ages backward?,The Curious Case of Benjamin Button
Who directed 'Django Unchained'?,Quentin Tarantino
Who played the role of Maximus in 'Gladiator'?,Russell Crowe
What movie featured the famous line 'To infinity and beyond'?,Toy Story
Who played the character of Tony Montana in 'Scarface'?,Al Pacino
Which movie is known for the dance scene with John Travolta and Uma Thurman?,Pulp Fiction
Who played the role of Lara Croft in the 2001 film 'Lara Croft: Tomb Raider'?,Angelina Jolie
What is the name of the hotel in 'The Shining'?,The Overlook Hotel
What film features a character named Vito Corleone?,The Godfather
What movie is set in a future where the government controls birthrates and the main character is named Theo Faron?,Children of Men
What film won Best Picture at the Oscars in 2021?,Nomadland
Who directed 'Titanic'?,James Cameron
What is the name of the princess in 'The Princess Bride'?,Princess Buttercup
Who played the main character in 'Cast Away'?,Tom Hanks
Which movie features the song 'Eye of the Tiger'?,Rocky III
What movie features the quote 'I'll have what she's having'?,When Harry Met Sally
Who directed 'Inglourious Basterds'?,Quentin Tarantino
Who played the lead in 'The Silence of the Lambs'?,Jodie Foster
What is the name of the fictional African country in 'Black Panther'?,Wakanda
Which movie is about a man who relives the same day over and over again?,Groundhog Day
What film features a killer shark and was a blockbuster hit in 1975?,Jaws
Who played the role of Indiana Jones?,Harrison Ford
Which actor voiced the character of Donkey in 'Shrek'?,Eddie Murphy
What film is about a young lion prince who flees his kingdom after his father is killed?,The Lion King
What movie features a man who must live inside an airport terminal?,The Terminal
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
Who starred as the lead in 'Mad Max: Fury Road'?,Tom Hardy
Who directed 'The Shape of Water'?,Guillermo del Toro
Who played the titular role in 'Mrs. Doubtfire'?,Robin Williams
What is the highest-grossing R-rated movie of all time (as of 2023)?,Joker
Who played the role of Katniss Everdeen in 'The Hunger Games'?,Jennifer Lawrence
What movie features the line 'E.T. phone home'?,E.T. the Extra-Terrestrial
Which film features a character named Hannibal Lecter?,The Silence of the Lambs
Who starred in the lead role of 'Braveheart'?,Mel Gibson
What movie won the Best Picture Oscar in 1999?,Shakespeare in Love
Who played Jack in 'The Shining'?,Jack Nicholson
What film features the character Gollum?,The Lord of the Rings
Who directed 'The Social Network'?,David Fincher
Which movie features the quote 'You had me at hello'?,Jerry Maguire
What movie stars Jim Carrey as a man whose life is secretly a TV show?,The Truman Show
Who played the role of Wonder Woman in the 2017 movie?,Gal Gadot
What movie features the character John McClane?,Die Hard
Who directed 'The Wolf of Wall Street'?,Martin Scorsese
What movie is about a British soldier held in a German POW camp during WWII?,The Great Escape
What movie features a killer clown named Pennywise?,It
What is the name of the spaceship in 'Alien'?,Nostromo
Who directed 'The Revenant'?,Alejandro G. Iñárritu
What movie is based on a true story about the rise of Facebook?,The Social Network
Who played Rick Deckard in 'Blade Runner'?,Harrison Ford
What movie features the line 'Nobody puts Baby in a corner'?,Dirty Dancing
What is the name of the movie where robots from space battle on Earth?,Transformers
Who played the role of Lara Jean in 'To All the Boys I've Loved Before'?,Lana Condor
What movie won Best Animated Feature at the 2021 Oscars?,Soul
Who played the role of Tony Stark/Iron Man in the Marvel Cinematic Universe?,Robert Downey Jr.
Who directed 'Dune' (2021)?,Denis Villeneuve
What movie features a man trying to survive on Mars?,The Martian
Who played the main character in 'A Beautiful Mind'?,Russell Crowe
What is the name of the hotel in 'John Wick'?,The Continental
Who starred as the lead in 'Bird Box'?,Sandra Bullock
What is the name of the main character in 'The Matrix' played by Keanu Reeves?,Neo
Which actor played Freddie Mercury in 'Bohemian Rhapsody'?,Rami Malek
Who directed the movie '1917'?,Sam Mendes
What movie features the song 'Let It Go'?,Frozen
Who played the character of Tony Montana in 'Scarface'?,Al Pacino
Which movie franchise is centered around racing cars and heists?,Fast & Furious
What movie features the character Jack Sparrow?,Pirates of the Caribbean
Who directed 'The Irishman'?,Martin Scorsese
What movie won the Best Picture Oscar in 1998?,Titanic
Who voiced the character of Simba in the 2019 version of 'The Lion King'?,Donald Glover
What movie features the song 'Over the Rainbow'?,The Wizard of Oz
Who played the character of Black Widow in the MCU?,Scarlett Johansson
What is the name of the computer in 'The Matrix' that rules over humanity?,The Architect
What movie is about a dystopian world where books are banned?,Fahrenheit 451
Who played the role of Mia in 'La La Land'?,Emma Stone
What movie features a character named Captain America?,Captain America: The First Avenger
Who played the main role in 'The Pursuit of Happyness'?,Will Smith
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
Who played the character Jack in 'Titanic'?,Leonardo DiCaprio
What movie is famous for the quote 'You're gonna need a bigger boat'?,Jaws
Who directed 'Inglourious Basterds'?,Quentin Tarantino
What is the name of the lead character in 'The Matrix'?,Neo
Who starred as The Bride in 'Kill Bill'?,Uma Thurman
What year was 'Jurassic Park' released?,1993
Who directed 'Blade Runner 2049'?,Denis Villeneuve
What movie won the Best Picture Oscar in 1995?,Forrest Gump
Who played the role of Clarice Starling in 'The Silence of the Lambs'?,Jodie Foster
What movie features a character named Andy Dufresne?,The Shawshank Redemption
Who played Mary Poppins in the original 1964 movie?,Julie Andrews
What movie is about an astronaut stranded on Mars?,The Martian
Who voiced the character of Woody in 'Toy Story'?,Tom Hanks
What movie features the character John Rambo?,First Blood
Who directed 'Schindler's List'?,Steven Spielberg
Who played the main character in 'Forrest Gump'?,Tom Hanks
What is the name of the main antagonist in 'The Dark Knight'?,The Joker
What movie features the song 'Hakuna Matata'?,The Lion King
What year did 'The Godfather' premiere?,1972
Who played James Bond in 'GoldenEye'?,Pierce Brosnan
Who starred as the main character in 'Cast Away'?,Tom Hanks
What movie features a character named Vito Corleone?,The Godfather
Who directed 'Saving Private Ryan'?,Steven Spielberg
What movie features the line 'I'll be back'?,The Terminator
Who played the main character in 'The Truman Show'?,Jim Carrey
What movie is about a man who ages backward?,The Curious Case of Benjamin Button
Who played the role of Indiana Jones?,Harrison Ford
"What movie features the line 'Here's looking at you, kid'?",Casablanca
Who directed 'Pulp Fiction'?,Quentin Tarantino
What is the name of the character who said 'I see dead people'?,Cole Sear
Who played Batman in 'The Dark Knight'?,Christian Bale
What movie won Best Picture at the Oscars in 2020?,Parasite
Who voiced the character of Elsa in 'Frozen'?,Idina Menzel
Who played Captain Jack Sparrow in 'Pirates of the Caribbean'?,Johnny Depp
What movie features the line 'You can't handle the truth!'?,A Few Good Men
What is the name of the robot in 'WALL-E'?,WALL-E
Who directed the movie 'Dunkirk'?,Christopher Nolan
What movie is based on a true story about King George VI's stammer?,The King's Speech
What year was the first 'Star Wars' movie released?,1977
What movie features the character Tony Stark?,Iron Man
Who directed 'The Departed'?,Martin Scorsese
What movie is about a group of friends who reunite at their high school reunion?,Grosse Pointe Blank
Who played Wolverine in the 'X-Men' series?,Hugh Jackman
Who played the main character in 'Joker' (2019)?,Joaquin Phoenix
What movie features the song 'My Heart Will Go On'?,Titanic
Who played the role of Ellen Ripley in 'Alien'?,Sigourney Weaver
Who starred as the main character in 'The Revenant'?,Leonardo DiCaprio
Who directed 'Avatar'?,James Cameron
What movie is about a young wizard who attends Hogwarts?,Harry Potter and the Sorcerer's Stone
Who directed 'The Hurt Locker'?,Kathryn Bigelow
What movie features the quote 'I'll make him an offer he can't refuse'?,The Godfather
Who starred as the main character in 'Rocky'?,Sylvester Stallone
What movie features the song 'Everything Is Awesome'?,The Lego Movie
Who played the role of Edward Cullen in 'Twilight'?,Robert Pattinson
Who directed 'The Irishman'?,Martin Scorsese
What movie features a group of women called 'The Pink Ladies'?,Grease
What is the name of the school in 'Mean Girls'?,North Shore High School
Who played the role of John Wick?,Keanu Reeves
Who directed 'Interstellar'?,Christopher Nolan
What movie is about a clown who terrorizes children in Derry?,It
Who played the character of Bridget Jones?,Renée Zellweger
What movie is known for the line 'As if!'?,Clueless
What movie features the character Travis Bickle?,Taxi Driver
Who played the role of Jack Sparrow?,Johnny Depp
What is the name of the space ship in 'Guardians of the Galaxy'?,The Milano
Who played the character of Ripley in 'Alien'?,Sigourney Weaver
What movie is set in a dystopian future where emotions are suppressed?,Equilibrium
Who directed 'The Revenant'?,Alejandro G. Iñárritu
What movie features a character named Maverick?,Top Gun
Who voiced the character of Simba in the original 'The Lion King'?,Matthew Broderick
What movie won the Best Picture Oscar in 2022?,CODA
Who starred as Captain America in the MCU?,Chris Evans
What movie is about a young girl who moves to a new city and has animated emotions?,Inside Out
What is the name of the princess in 'Sleeping Beauty'?,Aurora
What movie features a hotel called 'The Continental'?,John Wick
What movie features a bear named Paddington?,Paddington
"Who played the role of Tony Stark's assistant, Pepper Potts?",Gwyneth Paltrow
What is the name of the main character in 'The Big Lebowski'?,The Dude
What movie features a dance scene between Pulp Fiction's John Travolta and Uma Thurman?,Pulp Fiction
Who played Joker in 'Joker' (2019)?,Joaquin Phoenix
Who directed 'Parasite'?,Bong Joon-ho
What is the name of the main character in 'The Shawshank Redemption'?,Andy Dufresne
Who played the role of Neo in 'The Matrix'?,Keanu Reeves
Who played the lead role in 'La La Land'?,Ryan Gosling
What movie features the song 'This Is Me'?,The Greatest Showman
Who directed 'The Grand Budapest Hotel'?,Wes Anderson
What movie is based on the life of Stephen Hawking?,The Theory of Everything
Who starred as Lara Croft in the 2018 'Tomb Raider'?,Alicia Vikander
"What movie features the quote 'Houston, we have a problem'?",Apollo 13
Who played Severus Snape in the 'Harry Potter' series?,Alan Rickman
What is the name of the main character in 'Pirates of the Caribbean'?,Jack Sparrow
Who directed 'Once Upon a Time in Hollywood'?,Quentin Tarantino
What movie won Best Picture at the 1994 Oscars?,Schindler's List
Who starred as the main character in 'Black Swan'?,Natalie Portman
What is the main character's name in 'Mad Max: Fury Road'?,Max Rockatansky
What is the name of the hotel in 'The Shining'?,The Overlook Hotel
What movie features the quote 'Why so serious?'?,The Dark Knight
Who played Princess Leia in 'Star Wars'?,Carrie Fisher
What movie is known for the quote 'Life is like a box of chocolates'?,Forrest Gump
Who directed 'Get Out'?,Jordan Peele
Who played the titular role in 'Forrest Gump'?,Tom Hanks
"What movie features the quote 'Elementary, my dear Watson'?",The Adventures of Sherlock Holmes
Who starred as the main character in 'Edward Scissorhands'?,Johnny Depp
Who played Dorothy in 'The Wizard of Oz'?,Judy Garland
Who directed 'E.T. the Extra-Terrestrial'?,Steven Spielberg
What movie features the character Jason Bourne?,The Bourne Identity
What year was 'The Godfather Part II' released?,1974
Who played Marty McFly in 'Back to the Future'?,Michael J. Fox
Who voiced the character of Dory in 'Finding Nemo'?,Ellen DeGeneres
What is the name of the fictional city in 'Batman'?,Gotham City
What movie is about an astronaut who gets lost in space?,Gravity
What movie won the Best Picture Oscar in 2013?,Argo
Who starred as the main character in 'The Mask'?,Jim Carrey
Who played the role of Captain Phillips in the movie 'Captain Phillips'?,Tom Hanks
What movie features the song 'I Will Always Love You'?,The Bodyguard
Who directed 'There Will Be Blood'?,Paul Thomas Anderson
What movie features the character named John Connor?,Terminator 2: Judgment Day
Who played the role of Michael Corleone in 'The Godfather'?,Al Pacino
What movie is about a man trapped on a deserted island?,Cast Away
What movie features a teacher named Mr. Keating?,Dead Poets Society
Who directed 'Pan's Labyrinth'?,Guillermo del Toro
What is the name of the main character in 'Gladiator'?,Maximus
Who starred as the main character in 'Fight Club'?,Edward Norton
What movie is about a young girl who is transported to the Land of Oz?,The Wizard of Oz
What movie won the Best Picture Oscar in 2009?,Slumdog Millionaire
Who played Jack Ryan in 'The Hunt for Red October'?,Alec Baldwin
What movie features the character Neo who learns he is 'The One'?,The Matrix
Who starred as the main character in 'Titanic'?,Leonardo DiCaprio
Who directed 'The Green Mile'?,Frank Darabont
What movie features a toy cowboy named Woody?,Toy Story
Who played the role of Miranda Priestly in 'The Devil Wears Prada'?,Meryl Streep
What movie is about a college student who fights against odds in a fictional school called Princeton?,A Beautiful Mind
What movie won the Best Picture Oscar in 1981?,Chariots of Fire
Who directed 'Pulp Fiction'?,Quentin Tarantino
What movie is about a musical band called The Wonders?,That Thing You Do!
Who played the main character in 'Bruce Almighty'?,Jim Carrey
What movie features a famous dance lift in a lake?,Dirty Dancing
What is the name of the main character in 'Die Hard'?,John McClane
What movie features a group of teens dealing with a monster in Derry?,It
What movie is about a woman who falls in love with a mysterious creature?,The Shape of Water
Who played Hannibal Lecter in 'The Silence of the Lambs'?,Anthony Hopkins
What movie features the quote 'I feel the need... the need for speed'?,Top Gun
Who directed 'The Dark Knight Rises'?,Christopher Nolan
What movie is about two sisters who discover they are witches?,Practical Magic
Who played the main character in 'The Pursuit of Happyness'?,Will Smith
What movie features a song performed by Bradley Cooper and Lady Gaga?,A Star is Born
Who directed '12 Years a Slave'?,Steve McQueen
Who played the main character in 'The Sixth Sense'?,Haley Joel Osment
What movie features a man reliving the same day repeatedly?,Groundhog Day
What movie features a hitman meeting a young girl?,Leon The Professional
What is the chemical symbol for water?,H2O
What planet is known as the Red Planet?,Mars
Who developed the theory of general relativity?,Albert Einstein
What is the largest planet in our solar system?,Jupiter
What element does 'O' represent on the periodic table?,Oxygen
What gas do plants absorb from the atmosphere?,Carbon dioxide
What is the powerhouse of the cell?,Mitochondria
What is the main gas found in the Earth's atmosphere?,Nitrogen
Who is known as the father of modern physics?,Isaac Newton
What type of blood cells help our body fight infection?,White blood cells
What is the chemical symbol for gold?,Au
What is the hardest natural substance on Earth?,Diamond
What part of the human body produces insulin?,Pancreas
What is the speed of light?,"Approximately 299,792,458 m/s"
What is the process by which plants make food using sunlight?,Photosynthesis
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
What planet is closest to the Sun?,Mercury
What organ in the human body is primarily responsible for filtering blood?,Kidney
What does DNA stand for?,Deoxyribonucleic Acid
What is the tallest type of grass?,Bamboo
What metal has the chemical symbol 'Fe'?,Iron
What organ is responsible for pumping blood throughout the body?,Heart
What is the most common type of star in the Milky Way?,Red dwarf
What gas is commonly used in balloons to make them float?,Helium
What is the largest organ in the human body?,Skin
What type of animal is a Komodo dragon?,Lizard
What is the main element found in diamonds?,Carbon
What is the first element on the periodic table?,Hydrogen
What is the scientific name for the process of cell division?,Mitosis
Who is credited with inventing the telephone?,Alexander Graham Bell
What force keeps planets in orbit around the Sun?,Gravity
What planet has a prominent ring system?,Saturn
What is the chemical formula for table salt?,NaCl
What is the main function of red blood cells?,To carry oxygen
What is the hottest planet in our solar system?,Venus
What is the center of an atom called?,Nucleus
What is the largest mammal on Earth?,Blue whale
What type of celestial body is the Sun?,Star
What is the main component of the sun?,Hydrogen
What is the symbol for potassium on the periodic table?,K
What is the pH level of pure water?,7
What is the rarest blood type?,AB negative
What is the most abundant element in the universe?,Hydrogen
What layer of the Earth lies just below the crust?,Mantle
What is the largest bone in the human body?,Femur
Who discovered penicillin?,Alexander Fleming
What is the term for an animal that only eats plants?,Herbivore
What part of the cell contains genetic material?,Nucleus
What natural satellite orbits Earth?,The Moon
What is the basic unit of all living organisms?,Cell
What scientist proposed the three laws of motion?,Isaac Newton
What is the chemical symbol for sodium?,Na
What is the process by which plants release oxygen called?,Photosynthesis
What type of rock is formed from cooled lava or magma?,Igneous rock
What is the main gas found in the Sun?,Hydrogen
What does the acronym 'LASER' stand for?,Light Amplification by Stimulated Emission of Radiation
What is the most abundant gas in the Earth's atmosphere?,Nitrogen
What type of blood type is considered the universal donor?,O negative
What type of star is our Sun?,G-type main-sequence star (Yellow dwarf)
What part of the human brain controls vision?,Occipital lobe
What is the term for an organism that makes its own food?,Autotroph
What unit is used to measure electrical resistance?,Ohm
What is the boiling point of water at sea level in Celsius?,100°C
What is the closest star to Earth?,The Sun
What element is the main component of diamonds?,Carbon
What is the main purpose of white blood cells?,To fight infection
What is the study of plants called?,Botany
What is the chemical symbol for silver?,Ag
What planet is known as the Morning Star or Evening Star?,Venus
What is the powerhouse of the cell?,Mitochondria
Who developed the first successful polio vaccine?,Jonas Salk
What is the most common element in the human body?,Oxygen
What organ is responsible for producing bile?,Liver
What does the Richter scale measure?,The magnitude of earthquakes
What is the term for a baby kangaroo?,Joey
What is the hottest type of star in the universe?,Blue star
What type of energy does a moving object have?,Kinetic energy
What force keeps objects grounded on Earth?,Gravity
What is the smallest unit of life?,Cell
What is the chemical symbol for lead?,Pb
What is the primary function of the human respiratory system?,To take in oxygen and expel carbon dioxide
What element has the atomic number 1?,Hydrogen
What part of the brain regulates breathing and heart rate?,Medulla oblongata
What is the study of weather called?,Meteorology
What is the largest type of star in the universe?,Red supergiant
What type of wave is light?,Electromagnetic wave
What planet is known for having a Great Red Spot?,Jupiter
What is the name of the process where cells divide to form two identical cells?,Mitosis
What is the common name for dihydrogen monoxide?,Water
